customer_id,join_date,region,acquisition_channel,tenure_months,loyalty_source,points_balance,points_variance,customer_status
C000001,2021-12-26,Western Cape,Social,23,MIG-2025-11,2279,0,Active
C000002,2021-09-07,Limpopo,Organic,13,MIG-2025-11,226,0,Active
C000003,2023-09-26,Eastern Cape,Organic,19,MIG-2025-11,4746,353,Active
C000004,2022-07-11,Limpopo,Paid Search,58,MIG-2025-11,3539,0,Active
C000005,2023-12-26,Eastern Cape,Email,27,MIG-2025-11,4076,1113,Churned
C000006,2023-07-10,Western Cape,Organic,14,MIG-2025-11,4437,0,Active
C000007,2024-08-09,KwaZulu-Natal,Organic,16,MIG-2025-11,6508,0,Churned
C000008,2023-11-12,Limpopo,Referral,53,MIG-2025-11,5579,0,Active
C000009,2024-05-20,Limpopo,Paid Search,42,MIG-2025-11,4939,276,Churned
C000010,2024-05-21,Gauteng,Paid Search,39,MIG-2025-11,161,0,Active
C000011,2023-12-13,Limpopo,Paid Search,32,MIG-2025-11,6440,0,Active
C000012,2023-08-20,Gauteng,Social,46,MIG-2025-11,2155,0,Active
C000013,2023-10-14,Limpopo,Email,41,MIG-2025-11,3819,751,Churned
C000014,2024-06-26,Gauteng,Paid Search,45,MIG-2025-11,6833,0,Active
C000015,2022-04-18,Gauteng,Organic,10,MIG-2025-11,2015,0,Churned
C000016,2024-07-10,Eastern Cape,Social,59,MIG-2025-11,4072,0,Active
C000017,2021-10-18,Western Cape,Referral,17,MIG-2025-11,183,0,Active
C000018,2021-11-03,KwaZulu-Natal,Referral,32,MIG-2025-11,1304,0,Active
C000019,2022-12-16,Eastern Cape,Organic,18,MIG-2025-11,5460,0,Active
C000020,2021-09-23,Limpopo,Referral,52,MIG-2025-11,2003,0,Churned
C000021,2022-09-21,Gauteng,Referral,24,MIG-2025-11,5049,0,Churned
C000022,2022-02-10,Limpopo,Email,18,MIG-2025-11,1271,0,Active
C000023,2022-04-11,KwaZulu-Natal,Referral,13,MIG-2025-11,6500,0,Active
C000024,2022-04-12,Eastern Cape,Paid Search,22,MIG-2025-11,2878,0,Active
C000025,2021-06-13,Western Cape,Organic,58,MIG-2025-11,6501,0,Active
C000026,2022-02-21,Western Cape,Paid Search,17,MIG-2025-11,1308,0,Active
C000027,2023-08-08,Limpopo,Paid Search,55,MIG-2025-11,311,0,Active
C000028,2021-08-23,Gauteng,Email,6,MIG-2025-11,3248,0,Active
C000029,2022-01-24,Limpopo,Organic,47,MIG-2025-11,3569,0,Churned
C000030,2022-03-11,Western Cape,Email,39,MIG-2025-11,3270,0,Active
C000031,2022-09-13,KwaZulu-Natal,Referral,38,MIG-2025-11,6599,0,Active
C000032,2021-05-04,Western Cape,Paid Search,7,MIG-2025-11,276,519,Active
C000033,2020-02-12,Western Cape,Email,40,MIG-2025-11,3061,0,Active
C000034,2024-01-14,KwaZulu-Natal,Organic,31,MIG-2025-11,5159,718,Churned
C000035,2022-04-04,Western Cape,Paid Search,48,MIG-2025-11,5326,0,Active
C000036,2020-04-05,Eastern Cape,Organic,7,MIG-2025-11,3900,0,Active
C000037,2021-11-08,Limpopo,Referral,47,MIG-2025-11,318,1369,Active
C000038,2024-12-27,KwaZulu-Natal,Email,53,MIG-2025-11,6777,0,Active
C000039,2020-01-08,Eastern Cape,Organic,51,MIG-2025-11,1993,0,Active
C000040,2022-02-22,Limpopo,Referral,42,MIG-2025-11,836,158,Churned
C000041,2020-07-07,Gauteng,Email,35,MIG-2025-11,2876,0,Active
C000042,2020-10-03,Limpopo,Referral,17,MIG-2025-11,4470,284,Churned
C000043,2021-02-12,Western Cape,Organic,26,MIG-2025-11,2501,0,Active
C000044,2022-10-19,Limpopo,Paid Search,38,MIG-2025-11,5241,0,Active
C000045,2024-05-26,Gauteng,Social,29,MIG-2025-11,6283,420,Churned
C000046,2021-05-08,Gauteng,Referral,54,MIG-2025-11,6705,0,Active
C000047,2020-10-18,Limpopo,Paid Search,16,MIG-2025-11,840,0,Active
C000048,2024-04-21,Gauteng,Referral,43,MIG-2025-11,3332,0,Active
C000049,2024-09-04,Gauteng,Organic,47,MIG-2025-11,5318,0,Active
C000050,2020-11-13,Limpopo,Organic,12,MIG-2025-11,6669,0,Active
C000051,2024-08-17,Eastern Cape,Referral,26,MIG-2025-11,6177,305,Active
C000052,2023-11-22,Gauteng,Organic,58,MIG-2025-11,515,0,Active
C000053,2024-02-15,Limpopo,Social,38,MIG-2025-11,5282,0,Active
