ticket_id,customer_id,created_date,issue_type,contact_channel,resolution_hours,ticket_status,satisfaction_score
T0000001,C003143,2026-02-13,Redemption failed,Chat,13,Reopened,2
T0000002,C011211,2026-03-04,Late delivery,Email,23,Resolved,1
T0000003,C011805,2026-07-06,Late delivery,Phone,19,Resolved,1
T0000004,C009752,2026-02-18,Damaged item,Chat,45,Resolved,3
T0000005,C007576,2026-03-03,Account access,Chat,27,Resolved,1
T0000006,C000089,2026-06-11,Late delivery,Email,46,Resolved,2
T0000007,C007103,2026-02-05,Account access,Phone,4,Resolved,5
T0000008,C007509,2026-01-09,Account access,Email,35,Resolved,2
T0000009,C011962,2026-02-23,Late delivery,Chat,41,Reopened,5
T0000010,C007493,2026-05-11,Damaged item,Chat,47,Resolved,4
T0000011,C011670,2026-04-18,Late delivery,Email,20,Resolved,1
T0000012,C005677,2026-04-16,Refund delay,Phone,28,Resolved,4
T0000013,C006158,2026-04-04,Damaged item,Chat,43,Reopened,4
T0000014,C011795,2026-04-09,Damaged item,Email,34,Resolved,4
T0000015,C004650,2026-03-18,Late delivery,Chat,31,Resolved,5
T0000016,C006248,2026-03-12,Late delivery,Phone,15,Resolved,4
T0000017,C008414,2026-07-07,Late delivery,Chat,12,Resolved,1
T0000018,C006858,2026-05-21,Damaged item,Chat,12,Resolved,3
T0000019,C005510,2026-03-17,Damaged item,Chat,43,Resolved,3
T0000020,C003611,2026-03-02,Damaged item,Chat,32,Resolved,3
T0000021,C001541,2026-05-25,Incorrect points balance,Phone,62,Resolved,1
T0000022,C007904,2026-07-11,Late delivery,Email,41,Resolved,2
T0000023,C005066,2026-02-27,Account access,Email,26,Resolved,2
T0000024,C010433,2026-02-16,Account access,Chat,10,Resolved,4
T0000025,C011163,2026-05-23,Refund delay,Chat,8,Resolved,2
T0000026,C010989,2026-05-27,Account access,Chat,37,Resolved,1
T0000027,C008584,2026-04-08,Account access,Email,42,Resolved,4
T0000028,C003680,2026-05-24,Account access,Email,7,Resolved,5
T0000029,C006936,2026-03-08,Refund delay,Phone,20,Resolved,3
T0000030,C005551,2026-06-17,Damaged item,Phone,24,Resolved,4
T0000031,C004636,2026-05-05,Damaged item,Phone,27,Resolved,4
T0000032,C000328,2026-04-20,Damaged item,Phone,42,Resolved,2
T0000033,C000357,2026-01-16,Redemption failed,Phone,14,Reopened,3
T0000034,C005184,2026-01-07,Late delivery,Chat,21,Resolved,4
T0000035,C009002,2026-07-01,Damaged item,Chat,28,Resolved,1
T0000036,C004536,2026-06-10,Late delivery,Chat,13,Resolved,2
T0000037,C003657,2026-07-27,Late delivery,Chat,29,Resolved,2
T0000038,C009645,2026-07-01,Account access,Chat,38,Resolved,4
T0000039,C006243,2026-05-01,Late delivery,Phone,9,Resolved,4
T0000040,C004462,2026-06-04,Account access,Email,4,Reopened,4
T0000041,C003133,2026-02-06,Late delivery,Chat,27,Resolved,4
T0000042,C005854,2026-05-06,Refund delay,Phone,45,Resolved,4
T0000043,C009169,2026-04-27,Account access,Email,47,Resolved,4
T0000044,C006086,2026-05-09,Damaged item,Phone,46,Resolved,5
T0000045,C008671,2026-03-05,Refund delay,Email,41,Resolved,2
T0000046,C008607,2026-04-26,Account access,Email,38,Resolved,1
T0000047,C008902,2026-07-02,Account access,Chat,39,Resolved,2
T0000048,C002353,2026-04-15,Incorrect points balance,Phone,52,Reopened,2
T0000049,C000096,2026-07-18,Missing loyalty points,Chat,92,Resolved,3
T0000050,C011539,2026-02-07,Damaged item,Chat,47,Resolved,5
T0000051,C008344,2026-05-09,Damaged item,Chat,9,Resolved,3
T0000052,C000486,2026-06-26,Missing loyalty points,Email,29,Resolved,4
T0000053,C001572,2026-04-16,Redemption failed,Email,8,Reopened,3
T0000054,C008108,2026-04-18,Account access,Phone,32,Resolved,4
T0000055,C011856,2026-07-15,Damaged item,Chat,22,Resolved,1
T0000056,C008857,2026-06-24,Damaged item,Email,35,Resolved,1
T0000057,C000707,2026-05-20,Incorrect points balance,Phone,67,Reopened,3
T0000058,C011312,2026-05-10,Damaged item,Email,38,Resolved,2
T0000059,C002080,2026-03-07,Refund delay,Chat,29,Resolved,1
T0000060,C002954,2026-03-19,Redemption failed,Email,15,Resolved,1
T0000061,C005182,2026-02-11,Account access,Chat,27,Resolved,4
T0000062,C009890,2026-04-16,Damaged item,Email,2,Resolved,3
T0000063,C005347,2026-05-22,Refund delay,Chat,45,Resolved,1
T0000064,C002521,2026-03-23,Damaged item,Phone,31,Resolved,5
T0000065,C005395,2026-04-27,Late delivery,Chat,39,Reopened,1
T0000066,C010550,2026-04-12,Damaged item,Chat,44,Resolved,2
T0000067,C009340,2026-04-13,Damaged item,Phone,5,Resolved,4
T0000068,C002830,2026-03-26,Account access,Phone,17,Resolved,2
T0000069,C003455,2026-02-01,Redemption failed,Email,40,Reopened,4
T0000070,C007079,2026-02-14,Account access,Phone,38,Resolved,1
T0000071,C002524,2026-02-24,Refund delay,Phone,21,Resolved,4
T0000072,C000938,2026-07-09,Missing loyalty points,Phone,55,Reopened,4
T0000073,C006341,2026-04-11,Account access,Email,3,Resolved,2
T0000074,C011432,2026-05-18,Damaged item,Phone,4,Resolved,4
T0000075,C008665,2026-06-12,Account access,Email,20,Resolved,3
T0000076,C006147,2026-06-19,Late delivery,Email,22,Resolved,5
T0000077,C008859,2026-01-15,Damaged item,Phone,23,Resolved,4
T0000078,C002750,2026-05-11,Late delivery,Email,46,Resolved,3
T0000079,C004952,2026-02-16,Late delivery,Email,17,Resolved,2
T0000080,C001907,2026-01-08,Redemption failed,Phone,64,Resolved,3
T0000081,C005668,2026-01-11,Refund delay,Phone,31,Resolved,1
T0000082,C004189,2026-04-02,Late delivery,Email,10,Resolved,1
T0000083,C000139,2026-01-24,Account access,Email,45,Resolved,5
T0000084,C008400,2026-02-01,Account access,Email,31,Resolved,1
T0000085,C006014,2026-04-05,Account access,Email,28,Resolved,5
T0000086,C000991,2026-03-08,Late delivery,Email,20,Resolved,5
T0000087,C009220,2026-04-06,Refund delay,Chat,38,Resolved,1
T0000088,C001835,2026-01-07,Incorrect points balance,Phone,28,Resolved,4
T0000089,C008777,2026-07-25,Account access,Phone,9,Resolved,1
T0000090,C010396,2026-02-16,Damaged item,Phone,8,Resolved,5
T0000091,C011497,2026-07-18,Damaged item,Phone,28,Resolved,4
T0000092,C001378,2026-04-22,Refund delay,Chat,44,Resolved,3
T0000093,C006880,2026-02-09,Damaged item,Email,37,Resolved,1
T0000094,C011997,2026-07-16,Refund delay,Email,18,Resolved,4
T0000095,C011705,2026-02-02,Damaged item,Email,34,Resolved,4
T0000096,C011040,2026-07-05,Refund delay,Email,19,Resolved,3
T0000097,C009756,2026-01-12,Damaged item,Chat,6,Resolved,1
T0000098,C001221,2026-05-22,Incorrect points balance,Chat,31,Reopened,4
T0000099,C006554,2026-06-26,Damaged item,Phone,32,Resolved,5
T0000100,C005373,2026-04-05,Damaged item,Email,16,Resolved,4
T0000101,C001206,2026-05-11,Account access,Phone,2,Resolved,2
T0000102,C002411,2026-07-12,Account access,Chat,22,Resolved,2
T0000103,C004320,2026-02-21,Refund delay,Chat,42,Resolved,5
T0000104,C002665,2026-03-15,Refund delay,Email,10,Resolved,5
T0000105,C005388,2026-05-20,Late delivery,Chat,33,Reopened,2
T0000106,C009826,2026-03-10,Damaged item,Email,27,Resolved,4
T0000107,C004557,2026-05-21,Damaged item,Phone,21,Resolved,5
T0000108,C007873,2026-05-14,Account access,Email,30,Resolved,3
T0000109,C000918,2026-01-11,Account access,Phone,6,Resolved,5
T0000110,C009043,2026-01-02,Late delivery,Phone,24,Resolved,2
T0000111,C006641,2026-06-24,Late delivery,Chat,18,Resolved,2
T0000112,C002156,2026-06-26,Refund delay,Email,9,Resolved,3
T0000113,C004340,2026-01-24,Account access,Chat,19,Resolved,1
T0000114,C004420,2026-07-08,Late delivery,Phone,5,Resolved,1
T0000115,C009033,2026-05-10,Late delivery,Email,3,Resolved,3
T0000116,C011071,2026-02-03,Damaged item,Email,42,Resolved,4
T0000117,C005397,2026-04-12,Late delivery,Email,31,Reopened,5
T0000118,C004065,2026-02-04,Account access,Chat,34,Resolved,3
T0000119,C010272,2026-02-11,Damaged item,Phone,45,Reopened,4
T0000120,C011075,2026-03-13,Late delivery,Phone,16,Resolved,5
T0000121,C000850,2026-06-03,Late delivery,Email,24,Resolved,5
T0000122,C010710,2026-03-16,Account access,Email,3,Resolved,3
T0000123,C010500,2026-02-06,Damaged item,Phone,13,Resolved,2
T0000124,C001979,2026-01-19,Account access,Chat,7,Resolved,2
T0000125,C007255,2026-06-05,Damaged item,Phone,33,Resolved,1
T0000126,C004132,2026-03-20,Late delivery,Email,32,Resolved,1
T0000127,C007551,2026-02-26,Account access,Phone,33,Reopened,3
T0000128,C010539,2026-04-21,Account access,Phone,16,Resolved,1
T0000129,C000488,2026-07-02,Missing loyalty points,Email,2,Resolved,3
T0000130,C006736,2026-02-07,Late delivery,Email,19,Resolved,3
T0000131,C004861,2026-01-11,Account access,Chat,8,Reopened,2
T0000132,C009291,2026-07-07,Damaged item,Phone,20,Resolved,3
T0000133,C002994,2026-05-24,Incorrect points balance,Email,73,Resolved,4
T0000134,C003738,2026-01-11,Refund delay,Phone,41,Resolved,3
T0000135,C004930,2026-03-11,Damaged item,Phone,26,Resolved,1
T0000136,C002448,2026-03-04,Incorrect points balance,Phone,65,Reopened,2
T0000137,C009712,2026-07-17,Account access,Phone,15,Reopened,3
T0000138,C008902,2026-01-12,Damaged item,Chat,46,Resolved,4
T0000139,C011205,2026-05-06,Late delivery,Chat,15,Resolved,5
T0000140,C001356,2026-04-23,Damaged item,Chat,36,Resolved,5
T0000141,C008871,2026-05-24,Damaged item,Email,6,Resolved,2
T0000142,C000050,2026-03-07,Damaged item,Email,38,Resolved,3
T0000143,C007434,2026-01-13,Account access,Chat,38,Resolved,3
T0000144,C005352,2026-01-09,Damaged item,Chat,11,Resolved,4
T0000145,C001412,2026-02-07,Redemption failed,Phone,12,Reopened,2
T0000146,C008666,2026-02-19,Late delivery,Chat,28,Resolved,4
T0000147,C004998,2026-07-14,Refund delay,Email,30,Resolved,2
T0000148,C004535,2026-01-10,Damaged item,Email,15,Resolved,2
T0000149,C008667,2026-01-17,Late delivery,Chat,18,Resolved,1
T0000150,C004676,2026-07-24,Refund delay,Phone,18,Resolved,2
T0000151,C006456,2026-01-17,Damaged item,Chat,11,Resolved,3
T0000152,C005968,2026-03-08,Late delivery,Phone,43,Resolved,1
T0000153,C003455,2026-05-11,Refund delay,Phone,22,Resolved,4
T0000154,C009794,2026-05-03,Refund delay,Chat,32,Reopened,5
T0000155,C009288,2026-07-27,Account access,Chat,9,Resolved,5
T0000156,C007357,2026-06-09,Refund delay,Email,26,Reopened,3
T0000157,C010758,2026-03-02,Refund delay,Phone,36,Resolved,1
T0000158,C009975,2026-05-14,Refund delay,Email,17,Resolved,5
T0000159,C010458,2026-04-01,Account access,Chat,23,Resolved,3
T0000160,C007622,2026-07-17,Damaged item,Chat,5,Resolved,5
T0000161,C001581,2026-01-19,Late delivery,Chat,31,Resolved,2
T0000162,C010049,2026-02-25,Damaged item,Email,19,Resolved,5
T0000163,C006249,2026-04-05,Refund delay,Email,18,Reopened,3
T0000164,C009388,2026-06-09,Damaged item,Email,12,Reopened,3
T0000165,C010177,2026-07-14,Account access,Phone,19,Resolved,4
T0000166,C003582,2026-03-08,Redemption failed,Chat,46,Resolved,3
T0000167,C001657,2026-07-18,Redemption failed,Phone,53,Resolved,5
T0000168,C002311,2026-04-25,Account access,Chat,37,Resolved,3
T0000169,C006882,2026-06-14,Account access,Phone,5,Resolved,4
T0000170,C007422,2026-06-25,Refund delay,Chat,14,Resolved,4
T0000171,C006889,2026-03-18,Refund delay,Phone,25,Resolved,4
T0000172,C007527,2026-07-16,Refund delay,Email,3,Resolved,1
T0000173,C006972,2026-03-24,Refund delay,Chat,45,Resolved,3
T0000174,C006608,2026-05-07,Damaged item,Phone,7,Reopened,4
T0000175,C011694,2026-05-04,Account access,Phone,45,Resolved,2
T0000176,C011225,2026-06-25,Refund delay,Chat,25,Resolved,5
T0000177,C009552,2026-05-11,Late delivery,Email,24,Resolved,1
T0000178,C001748,2026-07-17,Incorrect points balance,Chat,43,Reopened,1
T0000179,C009184,2026-02-27,Damaged item,Chat,39,Resolved,4
T0000180,C009625,2026-04-20,Late delivery,Email,21,Resolved,1
T0000181,C009517,2026-03-07,Refund delay,Chat,17,Resolved,3
T0000182,C002224,2026-04-09,Late delivery,Chat,35,Resolved,5
T0000183,C006142,2026-03-27,Late delivery,Email,16,Resolved,4
T0000184,C005275,2026-02-08,Damaged item,Phone,37,Resolved,5
T0000185,C011282,2026-02-17,Late delivery,Email,38,Resolved,3
T0000186,C008135,2026-05-02,Refund delay,Chat,28,Resolved,1
T0000187,C002386,2026-02-06,Damaged item,Phone,44,Reopened,1
T0000188,C007016,2026-06-17,Refund delay,Phone,5,Resolved,2
T0000189,C000887,2026-03-12,Missing loyalty points,Phone,91,Resolved,3
T0000190,C008934,2026-03-09,Refund delay,Chat,5,Resolved,4
T0000191,C001428,2026-03-10,Incorrect points balance,Phone,43,Resolved,2
T0000192,C009208,2026-05-12,Late delivery,Chat,34,Reopened,1
T0000193,C001600,2026-04-02,Missing loyalty points,Email,8,Resolved,3
T0000194,C004829,2026-06-22,Refund delay,Email,24,Resolved,4
T0000195,C004705,2026-01-03,Account access,Phone,41,Resolved,4
T0000196,C011879,2026-07-19,Account access,Chat,44,Resolved,1
T0000197,C008121,2026-06-17,Late delivery,Chat,43,Resolved,1
T0000198,C011313,2026-01-22,Refund delay,Chat,29,Resolved,1
T0000199,C007136,2026-05-26,Late delivery,Chat,39,Resolved,5
T0000200,C010493,2026-04-01,Damaged item,Chat,23,Reopened,1
T0000201,C004691,2026-03-10,Account access,Chat,14,Resolved,3
T0000202,C010370,2026-02-06,Damaged item,Phone,40,Resolved,2
T0000203,C008186,2026-01-27,Refund delay,Chat,27,Resolved,3
T0000204,C003235,2026-01-23,Damaged item,Phone,41,Reopened,2
T0000205,C003635,2026-01-07,Refund delay,Chat,18,Resolved,3
T0000206,C006521,2026-05-21,Damaged item,Chat,4,Resolved,5
T0000207,C003371,2026-07-04,Account access,Email,5,Reopened,1
T0000208,C005065,2026-04-09,Refund delay,Email,37,Resolved,3
T0000209,C000519,2026-01-17,Damaged item,Chat,38,Resolved,3
T0000210,C000365,2026-02-21,Redemption failed,Email,37,Reopened,5
T0000211,C011557,2026-06-08,Late delivery,Email,10,Resolved,2
T0000212,C006724,2026-05-15,Late delivery,Email,25,Resolved,4
T0000213,C006423,2026-07-26,Damaged item,Phone,28,Resolved,1
T0000214,C005143,2026-05-06,Damaged item,Chat,9,Resolved,5
T0000215,C008539,2026-02-16,Account access,Chat,10,Resolved,2
T0000216,C006737,2026-04-17,Late delivery,Phone,42,Resolved,1
T0000217,C005389,2026-02-17,Refund delay,Email,20,Resolved,2
T0000218,C006474,2026-05-11,Refund delay,Chat,5,Resolved,2
T0000219,C010858,2026-03-23,Damaged item,Phone,13,Resolved,3
T0000220,C006595,2026-02-27,Damaged item,Chat,27,Resolved,5
T0000221,C002985,2026-04-03,Refund delay,Phone,45,Resolved,1
T0000222,C000129,2026-02-01,Account access,Chat,35,Resolved,1
T0000223,C006852,2026-04-11,Late delivery,Phone,30,Resolved,2
T0000224,C007819,2026-03-23,Damaged item,Chat,31,Resolved,2
T0000225,C005490,2026-07-24,Late delivery,Phone,42,Resolved,1
T0000226,C011278,2026-02-08,Late delivery,Email,40,Resolved,2
T0000227,C001265,2026-04-13,Refund delay,Phone,19,Resolved,5
T0000228,C004126,2026-04-24,Late delivery,Email,41,Resolved,5
T0000229,C002750,2026-03-12,Incorrect points balance,Email,69,Resolved,1
T0000230,C002794,2026-02-14,Account access,Phone,36,Resolved,4
T0000231,C005800,2026-05-25,Account access,Phone,14,Resolved,2
T0000232,C005910,2026-01-23,Damaged item,Phone,41,Resolved,5
T0000233,C005411,2026-04-26,Damaged item,Phone,27,Resolved,2
T0000234,C008853,2026-04-23,Damaged item,Chat,28,Resolved,5
T0000235,C011924,2026-05-23,Late delivery,Phone,24,Resolved,2
T0000236,C005781,2026-03-02,Damaged item,Chat,45,Resolved,2
T0000237,C000141,2026-06-01,Incorrect points balance,Email,91,Reopened,3
T0000238,C000057,2026-03-27,Missing loyalty points,Phone,44,Resolved,2
T0000239,C002557,2026-06-01,Late delivery,Chat,15,Resolved,3
T0000240,C007355,2026-07-04,Damaged item,Chat,41,Resolved,4
T0000241,C002915,2026-07-19,Late delivery,Email,42,Resolved,5
T0000242,C004511,2026-05-12,Refund delay,Phone,42,Resolved,1
T0000243,C007193,2026-04-12,Late delivery,Chat,46,Reopened,5
T0000244,C005669,2026-01-20,Account access,Chat,44,Resolved,1
T0000245,C008660,2026-01-24,Refund delay,Phone,33,Resolved,4
T0000246,C005414,2026-05-06,Account access,Chat,21,Resolved,4
T0000247,C002673,2026-04-25,Refund delay,Phone,13,Resolved,4
T0000248,C006698,2026-07-01,Damaged item,Email,24,Resolved,5
T0000249,C000206,2026-04-04,Redemption failed,Email,11,Resolved,4
T0000250,C000355,2026-02-06,Account access,Chat,34,Resolved,2
T0000251,C010397,2026-01-26,Damaged item,Email,30,Resolved,2
T0000252,C007157,2026-06-12,Damaged item,Email,43,Resolved,1
T0000253,C001807,2026-04-19,Incorrect points balance,Phone,90,Resolved,4
T0000254,C011220,2026-02-09,Late delivery,Phone,23,Resolved,1
T0000255,C002734,2026-03-14,Late delivery,Phone,29,Resolved,1
T0000256,C002374,2026-05-04,Damaged item,Chat,31,Resolved,5
T0000257,C008243,2026-02-22,Late delivery,Phone,33,Resolved,2
T0000258,C002095,2026-04-04,Late delivery,Email,9,Resolved,4
T0000259,C002057,2026-07-08,Missing loyalty points,Chat,40,Resolved,3
