order_id,customer_id,order_date,category,order_value_zar,points_redeemed,order_status,checkout_error
O0000001,C009955,2026-06-01,Fashion,528.52,0,Delivered,
O0000002,C011790,2026-03-26,Electronics,3571.97,0,Delivered,
O0000003,C009312,2026-02-13,Fashion,4073.40,0,Delivered,
O0000004,C010113,2026-05-14,Home,3975.45,0,Delivered,
O0000005,C001736,2026-03-23,Beauty,1882.94,0,Delivered,
O0000006,C006981,2026-01-19,Electronics,3101.51,0,Delivered,
O0000007,C000089,2026-05-01,Fashion,3120.01,0,Delivered,
O0000008,C002799,2026-05-19,Electronics,2393.21,0,Delivered,
O0000009,C002695,2026-06-14,Home,1601.47,0,Delivered,
O0000010,C008072,2026-06-16,Electronics,2944.49,375,Delivered,
O0000011,C000866,2026-01-27,Beauty,3571.38,238,Delivered,
O0000012,C009236,2026-07-20,Grocery,3815.33,0,Returned,
O0000013,C009849,2026-07-14,Grocery,1077.18,0,Delivered,
O0000014,C000688,2026-07-11,Beauty,1561.72,0,Returned,
O0000015,C009071,2026-05-10,Beauty,2826.82,554,Delivered,
O0000016,C011415,2026-01-05,Beauty,3195.68,0,Delivered,
O0000017,C006823,2026-04-09,Beauty,4267.22,0,Delivered,
O0000018,C001996,2026-01-26,Beauty,1359.97,0,Delivered,
O0000019,C004786,2026-05-10,Fashion,3898.10,1131,Delivered,
O0000020,C003302,2026-04-14,Beauty,836.32,1252,Delivered,
O0000021,C007121,2026-07-12,Home,1669.40,0,Delivered,
O0000022,C009508,2026-04-05,Home,2633.64,0,Delivered,
O0000023,C001907,2026-01-14,Beauty,797.93,0,Returned,
O0000024,C002999,2026-05-27,Grocery,1544.09,0,Delivered,
O0000025,C007151,2026-04-21,Electronics,3284.81,0,Returned,
O0000026,C009623,2026-02-19,Electronics,453.84,1666,Delivered,
O0000027,C009818,2026-04-04,Fashion,956.50,0,Delivered,
O0000028,C001278,2026-06-18,Beauty,2159.91,1239,Delivered,
O0000029,C008850,2026-01-18,Electronics,385.48,0,Delivered,
O0000030,C000008,2026-03-07,Fashion,469.45,0,Delivered,
O0000031,C008375,2026-02-10,Fashion,1272.82,330,Delivered,
O0000032,C000121,2026-07-04,Home,1745.00,0,Delivered,
O0000033,C000707,2026-04-03,Beauty,1786.73,0,Delivered,
O0000034,C009549,2026-05-11,Grocery,3953.95,0,Delivered,
O0000035,C003724,2026-03-13,Home,2992.27,1393,Returned,
O0000036,C008412,2026-01-03,Electronics,344.06,0,Delivered,
O0000037,C003201,2026-01-09,Electronics,2681.99,0,Delivered,
O0000038,C008590,2026-04-15,Grocery,3306.07,0,Delivered,
O0000039,C010521,2026-04-21,Grocery,2248.12,0,Returned,
O0000040,C008527,2026-02-12,Beauty,2019.79,0,Delivered,
O0000041,C002168,2026-05-20,Fashion,2670.57,0,Delivered,
O0000042,C009310,2026-02-24,Electronics,3843.08,0,Returned,
O0000043,C003250,2026-07-17,Beauty,1751.63,0,Delivered,
O0000044,C006210,2026-03-17,Grocery,1668.04,0,Returned,
O0000045,C010834,2026-07-24,Home,2169.10,0,Returned,
O0000046,C006602,2026-05-07,Electronics,1883.42,0,Delivered,
O0000047,C005592,2026-01-21,Fashion,3881.72,0,Delivered,
O0000048,C008011,2026-04-23,Beauty,3915.89,0,Returned,
O0000049,C011991,2026-05-22,Beauty,257.97,0,Returned,
O0000050,C005266,2026-03-06,Home,411.77,1440,Delivered,
O0000051,C008690,2026-01-15,Beauty,213.60,446,Returned,
O0000052,C002570,2026-03-18,Home,3142.99,0,Delivered,
O0000053,C010898,2026-02-18,Grocery,2634.49,0,Delivered,
O0000054,C003269,2026-04-04,Home,2567.59,0,Delivered,
O0000055,C000067,2026-03-02,Home,2447.30,1398,Returned,
O0000056,C001563,2026-04-09,Beauty,3676.90,0,Delivered,
O0000057,C001162,2026-02-21,Electronics,1628.72,1871,Delivered,
O0000058,C000819,2026-03-22,Home,3993.90,1661,Delivered,
O0000059,C003356,2026-04-13,Electronics,1075.40,0,Returned,
O0000060,C004584,2026-03-20,Home,1702.31,0,Delivered,
O0000061,C009188,2026-07-18,Home,819.17,0,Returned,
O0000062,C000172,2026-07-18,Beauty,2278.28,0,Returned,
O0000063,C010072,2026-05-21,Grocery,1596.48,0,Delivered,
O0000064,C002737,2026-06-13,Fashion,3053.31,0,Delivered,
O0000065,C008240,2026-05-07,Beauty,3958.91,315,Delivered,
O0000066,C010131,2026-01-27,Grocery,1201.17,408,Delivered,
O0000067,C002809,2026-02-18,Electronics,2284.30,0,Delivered,
